diputado_id,Diputado,Provincia,Partido,OrientaciÃ³n,VOTO,EDAD,camara,año,RANGO_DE_EDAD,Genero
430,"BOGDANICH, Esteban Mateo,",SANTA FE,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,63,diputadxs,2020,56-65,Masculino
431,"BORMIOLI, Lisandro,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,45,diputadxs,2020,36-45,Masculino
432,"BRAMBILLA, Sofía,",CORRIENTES,PRO,Cambiemos,NEGATIVO,40,diputadxs,2020,36-45,Femenino
433,"BRAWER, Mara,",CDAD. AUT. BS. AS.,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,58,diputadxs,2020,56-65,Femenino
434,"BRITEZ, María Cristina,",MISIONES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,39,diputadxs,2020,36-45,Femenino
435,"BRIZUELA DEL MORAL, Eduardo Segundo,",CATAMARCA,FRENTE CaVICO Y SOCIAL DE CATAMARCA,Cambiemos,NEGATIVO,76,diputadxs,2020,76-85,Masculino
436,"BRUE, Daniel Agustín,",SANTIAGO DEL ESTERO,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,56,diputadxs,2020,56-65,Masculino
437,"BUCCA, Eduardo,",BUENOS AIRES,JUSTICIALISTA,Consenso Federal / PJ no K,AFIRMATIVO,41,diputadxs,2020,36-45,Masculino
438,"BURGOS, María Gabriela,",JUJUY,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,49,diputadxs,2020,46-55,Femenino
439,"BURYAILE, Ricardo,",FORMOSA,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,50,diputadxs,2020,46-55,Masculino
440,"CACACE, Alejandro,",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,35,diputadxs,2020,25-35,Masculino
441,"CÁCERES, Adriana Cintia,",SAN JUAN,PRO,Cambiemos,AUSENTE,38,diputadxs,2020,36-45,Femenino
442,"CÁCERES, Eduardo Augusto,",SAN LUIS,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,45,diputadxs,2020,36-45,Masculino
443,"CALIVA, Lia Veronica,",SALTA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,43,diputadxs,2020,36-45,Femenino
444,"CAMAÑO, Graciela,",BUENOS AIRES,CONSENSO FEDERAL,Consenso Federal / PJ no K,NEGATIVO,67,diputadxs,2020,66-75,Femenino
445,"CAMPAGNOLI, Marcela,",BUENOS AIRES,COALICIa“N CaVICA,Cambiemos,NEGATIVO,63,diputadxs,2020,56-65,Femenino
446,"CAMPOS, Javier,",BUENOS AIRES,COALICIa“N CaVICA,Cambiemos,NEGATIVO,62,diputadxs,2020,56-65,Masculino
447,"CANO, José Manuel,",TUCUMaN,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,55,diputadxs,2020,46-55,Masculino
448,"CANTARD, Albor Angel,",SANTA FE,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,59,diputadxs,2020,56-65,Masculino
449,"CAPARRÓS, Mabel Luisa,",TIERRA DEL FUEGO,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,64,diputadxs,2020,56-65,Femenino
450,"CARAMBIA, Antonio José,",SANTA CRUZ,Accia³n Federal,Otros,NEGATIVO,38,diputadxs,2020,36-45,Masculino
451,"CARNAGHI, Oscar,",NEUQUa‰N,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,46,diputadxs,2020,46-55,Masculino
452,"CARRIZO, Ana Carla,",CDAD. AUT. BS. AS.,EVOLUCIa“N RADICAL,Cambiemos,AFIRMATIVO,54,diputadxs,2020,46-55,Femenino
453,"CARRIZO, Nilda Mabel,",TUCUMaN,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,41,diputadxs,2020,36-45,Femenino
454,"CARRIZO, Soledad,",Ca“RDOBA,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,43,diputadxs,2020,36-45,Femenino
455,"CARRO, Pablo,",Ca“RDOBA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,55,diputadxs,2020,46-55,Masculino
456,"CASARETTO, Marcelo Pablo,",ENTRE RaOS,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,53,diputadxs,2020,46-55,Masculino
457,"CASAS, Sergio Guillermo,",LA RIOJA,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,55,diputadxs,2020,46-55,Masculino
458,"CASELLES, Graciela María,",SAN JUAN,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,54,diputadxs,2020,46-55,Femenino
459,"CASSINERIO, Paulo Leonardo,",Ca“RDOBA,Ca“RDOBA FEDERAL,Consenso Federal / PJ no K,NEGATIVO,41,diputadxs,2020,36-45,Masculino
460,"CASTETS, Laura Carolina,",SANTA FE,COALICIa“N CaVICA,Cambiemos,NEGATIVO,47,diputadxs,2020,46-55,Femenino
461,"CERRUTI, Gabriela,",C.A.B.A.,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,55,diputadxs,2020,46-55,Femenino
462,"CIPOLINI, Gerardo,",CHACO,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,73,diputadxs,2020,66-75,Masculino
463,"CISNEROS, Carlos Anibal,",TUCUMaN,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,58,diputadxs,2020,56-65,Masculino
464,"CLERI, Marcos,",SANTA FE,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,38,diputadxs,2020,36-45,Masculino
465,"CONTIGIANI, Luis Gustavo,",SANTA FE,FRENTE PROGRESISTA CaVICO Y SOCIAL,Consenso Federal / PJ no K,NEGATIVO,48,diputadxs,2020,46-55,Masculino
466,"CORNEJO, Alfredo Victor,",MENDOZA,UNIa“N CaVICA RADICAL,Cambiemos,ABSTENCION,58,diputadxs,2020,56-65,Masculino
467,"CORNEJO, Virginia Maria,",SALTA,PRO,Cambiemos,NEGATIVO,69,diputadxs,2020,66-75,Femenino
468,"CORPACCI, Lucia,",CATAMARCA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,61,diputadxs,2020,56-65,Femenino
469,"CORREA, Walter,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,56,diputadxs,2020,56-65,Masculino
470,"CRESCIMBENI, Camila,",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,30,diputadxs,2020,25-35,Femenino
471,"CRESTO, Mayda,",ENTRE RaOS,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,48,diputadxs,2020,46-55,Femenino
472,"DAIVES, Ricardo Daniel,",SANTIAGO DEL ESTERO,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,70,diputadxs,2020,66-75,Masculino
473,"DALDOVO, Nelly Ramona,",FORMOSA,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,71,diputadxs,2020,66-75,Femenino
474,"DE LAMADRID, Alvaro Héctor,",C.A.B.A.,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,48,diputadxs,2020,46-55,Masculino
475,"DE MARCHI, Omar Bruno,",MENDOZA,PRO,Cambiemos,NEGATIVO,54,diputadxs,2020,46-55,Masculino
476,"DE MENDIGUREN, José Ignacio,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AUSENTE,70,diputadxs,2020,66-75,Masculino
477,"DEL CAÑO, Nicolás,",BUENOS AIRES,PTS - FRENTE DE IZQUIERDA,Izquierda,AFIRMATIVO,40,diputadxs,2020,36-45,Masculino
478,"Del CERRO, Gonzalo Pedro Antonio,",SANTA FE,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,77,diputadxs,2020,76-85,Masculino
479,"DELÚ, Melina Aida,",LA PAMPA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,58,diputadxs,2020,56-65,Femenino
480,"DI GIACOMO, Luis,",RIO NEGRO,Juntos Somos Ra­o Negro,Otros,AFIRMATIVO,44,diputadxs,2020,36-45,Masculino
481,"EL SUKARIA, Soher,",Ca“RDOBA,PRO,Cambiemos,NEGATIVO,66,diputadxs,2020,66-75,Femenino
482,"ENRIQUEZ, Jorge Ricardo,",C.A.B.A.,PRO,Cambiemos,NEGATIVO,45,diputadxs,2020,36-45,Masculino
483,"ESTEVEZ, Enrique Eloy,",SANTA FE,Socialista,Consenso Federal / PJ no K,AFIRMATIVO,73,diputadxs,2020,66-75,Masculino
484,"ESTEVEZ, Gabriela Beatriz,",Ca“RDOBA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,37,diputadxs,2020,36-45,Femenino
485,"FAGIOLI, Federico,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,29,diputadxs,2020,25-35,Masculino
486,"FELIX, Omar,",MENDOZA,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,60,diputadxs,2020,56-65,Masculino
487,"FERNANDEZ LANGAN, Ezequiel,",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,42,diputadxs,2020,36-45,Masculino
488,"FERNANDEZ PATRI, Gustavo Ramiro,",FORMOSA,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,46,diputadxs,2020,46-55,Masculino
489,"FERNANDEZ, Carlos Alberto,",BUENOS AIRES,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,61,diputadxs,2020,56-65,Masculino
490,"FERNANDEZ, Eduardo Gabriel,",Ca“RDOBA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,68,diputadxs,2020,66-75,Masculino
491,"FERNANDEZ, Hector,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,64,diputadxs,2020,56-65,Masculino
492,"FERRARO, Maximiliano Carlos Francisco,",C.A.B.A.,COALICIa“N CaVICA,Cambiemos,AFIRMATIVO,45,diputadxs,2020,36-45,Masculino
493,"FERREYRA, Daniel Julio,",JUJUY,FRENTE DE TODOS,Kirchnerismo/PJ,ABSTENCION,78,diputadxs,2020,76-85,Masculino
494,"FIGUEROA, Alcira Elsa,",SALTA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,61,diputadxs,2020,56-65,Femenino
495,"FLORES, Danilo Adrián,",LA RIOJA,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,50,diputadxs,2020,46-55,Masculino
496,"FLORES, Héctor Toty,",BUENOS AIRES,COALICIa“N CaVICA,Cambiemos,NEGATIVO,67,diputadxs,2020,66-75,Masculino
497,"FRADE, Monica,",BUENOS AIRES,COALICIa“N CaVICA,Cambiemos,AFIRMATIVO,62,diputadxs,2020,56-65,Femenino
498,"FREGONESE, Alicia,",ENTRE RaOS,PRO,Cambiemos,NEGATIVO,59,diputadxs,2020,56-65,Femenino
499,"FRIGERIO, Federico,",TIERRA DEL FUEGO,PRO,Cambiemos,AFIRMATIVO,33,diputadxs,2020,25-35,Masculino
500,"FRIZZA, Gabriel Alberto,",Ca“RDOBA,PRO,Cambiemos,NEGATIVO,52,diputadxs,2020,46-55,Masculino
501,"GAILLARD, Ana Carolina,",ENTRE RaOS,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,39,diputadxs,2020,36-45,Femenino
502,"GARCIA DE LUCA, Sebastian,",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,40,diputadxs,2020,36-45,Masculino
503,"GARCIA, Alejandro,",C.A.B.A.,PRO,Cambiemos,AFIRMATIVO,53,diputadxs,2020,46-55,Masculino
504,"GARCIA, Ximena,",SANTA FE,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,31,diputadxs,2020,25-35,Femenino
505,"GINOCCHIO, Silvana Micaela,",CATAMARCA,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,55,diputadxs,2020,46-55,Femenino
506,"GIOJA, José Luis,",SAN JUAN,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,71,diputadxs,2020,66-75,Masculino
507,"GIORDANO, Juan Carlos,",BUENOS AIRES,IZQUIERDA SOCIALISTA - FRENTE DE IZQUIERDA,Izquierda,AFIRMATIVO,58,diputadxs,2020,56-65,Masculino
508,"GODOY, Lucas Javier,",SALTA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,38,diputadxs,2020,36-45,Masculino
509,"GONZÁLEZ, Álvaro Gustavo,",SANTA FE,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,62,diputadxs,2020,56-65,Masculino
510,"GONZÁLEZ, Josefina Victoria,",SANTA CRUZ,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,54,diputadxs,2020,46-55,Femenino
511,"GONZÁLEZ, Pablo Gerardo,",CDAD. AUT. BS. AS.,PRO,Cambiemos,NEGATIVO,52,diputadxs,2020,46-55,Masculino
512,"GRANDE, Martín,",SALTA,PRO,Cambiemos,NEGATIVO,61,diputadxs,2020,56-65,Masculino
513,"GROSSO, Leonardo,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,37,diputadxs,2020,36-45,Masculino
514,"GUEVARA OLIVERA, Alejandro Francisco,",SAN JUAN,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,28,diputadxs,2020,25-35,Masculino
515,"GUTIERREZ, Carlos Mario,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,67,diputadxs,2020,66-75,Masculino
516,"GUTIÉRREZ, Carlos Ramiro,",Ca“RDOBA,Ca“RDOBA FEDERAL,Consenso Federal / PJ no K,NEGATIVO,53,diputadxs,2020,46-55,Masculino
517,"HAGMAN, Itai,",C.A.B.A.,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,37,diputadxs,2020,36-45,Masculino
518,"HEIN, Gustavo Rene,",ENTRE RaOS,PRO,Cambiemos,NEGATIVO,48,diputadxs,2020,46-55,Masculino
519,"HELLER, Carlos Salomón,",CDAD. AUT. BS. AS.,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,80,diputadxs,2020,76-85,Masculino
520,"HERNÁNDEZ, Estela Beatriz,",CHUBUT,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,66,diputadxs,2020,66-75,Femenino
